***2017

Colorado,7673,1,7673,1555,885,1118,725,476,310,2605,5270
Idaho,6826,--    ,6826,1188,649,1503,626,540,249,2071,1612
Montana,7785,--    ,7785,1619,799,1371,497,839,294,2366,1014
Utah,7428,--    ,7428,1541,1232,1139,580,545,234,2157,2898
Wyoming,13859,11,13848,2850,1260,1396,2469,1273,376,4225,582
,,,,,,,,,,,
Far West [2],9043,54,8990,1650,885,1617,994,502,367,2975,51944
California,9373,73,9301,1678,900,1754,1016,477,394,3082,38281
Nevada,6417,1,6416,1388,441,747,454,603,392,2391,2777
Oregon,9074,--    ,9074,1504,1039,1612,1040,513,286,3080,3923
Washington,8262,1,8261,1683,893,1212,1060,595,252,2565,6963
,,,,,,,,,,,
Alaska,18207,--    ,18207,3367,1337,2717,933,1912,509,7430,737
Hawaii,8939,0,8939,1324,1002,1550,769,490,273,3531,1408

***2012

United States ,8271,13,8258,1797,825,1553,769,508,309,2497,313874
,,,,,,,,,,,
New England,9251,2,9249,2188,717,2098,409,528,303,3006,14590
Connecticut,9341,--    ,9341,2411,699,1688,568,577,308,3091,3594
Maine,8324,--    ,8324,1763,602,2293,384,674,188,2421,1328
Massachusetts,9738,2,9736,2172,724,2438,406,425,325,3245,6663
New Hampshire,7335,--    ,7335,2084,701,1129,117,576,265,2463,1324
Rhode Island,8886,18,8868,2094,640,2138,263,452,341,2940,1055
Vermont,10190,--    ,10190,2360,1163,2392,450,1050,307,2468,626
,,,,,,,,,,,
Mideast,10293,18,10274,2460,754,2132,798,566,390,3176,48624
Delaware,9640,1,9639,2010,1244,2001,579,606,339,2861,915
District of Columbia,16960,--    ,16960,3468,269,4512,1062,828,888,5933,635
Maryland,8775,--    ,8775,2034,1016,1712,380,472,361,2802,5887
New Jersey,9433,2,9431,2706,681,1601,577,512,385,2969,8845
New York,12214,37,12177,2834,721,2603,1138,525,474,3882,19575
Pennsylvania,8358,11,8346,1894,722,1861,625,693,256,2296,12767
,,,,,,,,,,,
Great Lakes,7793,1,7792,1809,869,1518,603,485,281,2226,46587
Illinois,8120,1,8119,1928,689,1459,363,558,356,2767,12884
Indiana,7021,4,7017,1501,921,1336,669,424,175,1990,6538
Michigan,7468,2,7466,1726,1072,1329,820,332,236,1951,9897
Ohio,7927,1,7926,1942,761,1771,651,460,280,2062,11548
Wisconsin,8232,--    ,8232,1771,1086,1678,594,706,312,2084,5720
,,,,,,,,,,,
Plains,8184,6,8177,1780,884,1594,804,682,262,2172,20750
Iowa,8924,--    ,8924,1919,1132,1508,1184,771,223,2187,3076
Kansas,7775,0,7774,1764,1068,1061,1010,615,255,2002,2885
Minnesota,8948,--    ,8948,1876,817,2362,573,675,304,2341,5377
Missouri,7261,13,7247,1578,647,1411,866,480,270,1996,6024
Nebraska,7982,23,7958,2036,1026,1195,734,658,233,2077,1853
North Dakota,10125,--    ,10125,1868,1335,1423,288,1899,218,3094,701
South Dakota,7417,--    ,7417,1509,769,1167,317,1134,203,2318,833
,,,,,,,,,,,
Southeast,7278,0,7278,1522,734,1343,817,440,277,2144,79926
Alabama,7865,--    ,7865,1500,955,1604,1129,471,235,1971,4816
Arkansas,7117,0,7117,1689,895,1721,434,495,202,1681,2952
Florida,6960,--    ,6960,1280,497,1185,684,412,379,2523,19326
Georgia,6526,--    ,6526,1729,634,1021,685,308,239,1910,9901
Kentucky,7541,--    ,7541,1580,855,1637,605,542,174,2149,4386
Louisiana,8995,--    ,8995,1799,674,1395,1094,603,322,3108,4601
Mississippi,8095,--    ,8095,1459,896,1704,1297,582,222,1936,2984
North Carolina,7256,--    ,7256,1357,979,1362,1072,409,278,1798,9749
South Carolina,7282,--    ,7282,1590,740,1244,1343,332,225,1807,4717
Tennessee,6636,--    ,6636,1400,589,1603,653,371,252,1768,6451
Virginia,7650,0,7650,1840,918,1232,649,527,255,2230,8185
West Virginia,7845,--    ,7845,1723,915,1749,394,697,196,2172,1857
,,,,,,,,,,,
Southwest,6979,1,6977,1600,893,1278,682,441,262,1821,38552
Arizona,6319,--    ,6319,1205,727,1239,562,356,314,1917,6557
New Mexico,8648,--    ,8648,1698,1134,1929,802,495,310,2281,2088
Oklahoma,7000,15,6985,1436,891,1594,563,599,223,1679,3819
Texas,7008,--    ,7008,1716,915,1190,720,434,250,1781,26090
,,,,,,,,,,,
Rocky Mountain,7812,2,7810,1544,956,1166,713,650,278,2502,11223
Colorado,7657,1,7657,1538,888,1069,717,479,300,2665,5194
Idaho,6603,--    ,6603,1161,647,1409,557,548,248,2034,1595
Montana,7744,--    ,7744,1612,785,1323,491,941,288,2304,1004
Utah,7531,--    ,7531,1477,1257,1110,543,762,235,2147,2853
Wyoming,14053,27,14026,2868,1242,1373,2340,1400,368,4435,576
,,,,,,,,,,,
Far West [2],9012,54,8958,1680,910,1469,979,507,366,3046,51497
California,9268,73,9195,1709,945,1557,993,480,392,3118,37961
Nevada,6672,1,6671,1413,435,759,501,611,397,2556,2745
Oregon,9162,--    ,9162,1535,1003,1553,1045,518,293,3214,3899
Washington,8448,1,8448,1705,853,1220,1052,610,254,2753,6893
,,,,,,,,,,,
Alaska,17260,--    ,17260,3123,1225,2669,846,1744,469,7184,730
Hawaii,8966,0,8966,1342,1080,1495,767,496,277,3510,1395

***2011

United States ,8293,14,8279,1814,812,1575,748,494,311,2526,311580
,,,,,,,,,,,
New England,9118,17,9101,2103,708,2029,466,464,298,3034,14530
Connecticut,9224,--    ,9224,2341,734,1716,630,432,299,3072,3588
Maine,8466,4,8462,1823,598,2203,463,690,186,2498,1328
Massachusetts,9441,33,9408,2011,706,2194,495,387,321,3295,6613
New Hampshire,7775,--    ,7775,2098,638,1586,130,580,267,2477,1320
Rhode Island,8795,20,8775,2090,585,2214,230,329,339,2988,1054
Vermont,9857,--    ,9857,2347,1172,2336,327,957,277,2441,627
,,,,,,,,,,,
Mideast,10219,18,10201,2466,734,2156,764,590,385,3107,48437
Delaware,9482,1,9480,1911,1179,1934,501,652,323,2981,907
District of Columbia,17234,--    ,17234,3510,271,4574,1003,866,954,6057,620
Maryland,8560,--    ,8560,2060,951,1627,361,507,374,2679,5839
New Jersey,9248,2,9246,2654,646,1629,461,497,377,2981,8828
New York,12125,37,12088,2842,728,2585,1134,569,465,3765,19499
Pennsylvania,8449,10,8438,1937,695,2004,599,706,249,2247,12745
,,,,,,,,,,,
Great Lakes,7832,1,7831,1822,836,1496,619,475,285,2298,46513
Illinois,8035,0,8035,1906,675,1360,449,556,359,2729,12867
Indiana,7046,5,7041,1494,848,1302,668,415,199,2115,6516
Michigan,7466,2,7465,1772,1034,1340,776,351,239,1953,9882
Ohio,8081,1,8080,1914,744,1752,692,435,277,2266,11543
Wisconsin,8401,--    ,8401,1904,1029,1776,525,656,314,2197,5705
